frame,pipeline_ms,preprocess_ms,inference_ms,postprocess_ms,rss_mb,detections
277,26.967,0.783,25.29,0.286,553.34,12
278,27.399,0.742,25.762,0.295,553.34,14
279,26.958,0.766,25.292,0.303,553.34,12
280,27.436,0.769,25.77,0.292,553.34,12
281,27.526,0.822,25.761,0.313,553.34,11
282,27.265,0.766,25.578,0.307,553.34,10
283,27.245,0.763,25.576,0.313,553.34,11
284,27.748,0.727,26.099,0.305,553.34,11
285,27.344,0.772,25.692,0.273,553.34,11
286,27.309,0.778,25.61,0.318,553.34,11
287,27.391,0.768,25.695,0.332,553.34,12
288,26.912,0.717,25.26,0.318,553.34,11
289,27.254,0.784,25.547,0.313,553.34,11
290,27.081,0.777,25.375,0.324,553.34,11
291,27.021,0.774,25.263,0.308,553.34,11
292,27.645,0.787,25.976,0.287,553.34,10
293,27.377,0.738,25.709,0.299,553.34,10
294,27.134,0.772,25.447,0.315,553.34,10
295,26.946,0.77,25.26,0.313,553.34,11
296,27.172,0.765,25.534,0.279,553.34,11
297,27.084,0.79,25.394,0.297,553.34,10
298,27.626,0.75,25.977,0.294,553.34,9
299,26.72,0.766,25.074,0.273,553.34,9
300,27.121,0.759,25.431,0.29,553.34,9
