frame,pipeline_ms,preprocess_ms,inference_ms,postprocess_ms,rss_mb,detections
1,27.977,0.783,26.233,0.312,541.38,6
2,29.249,0.75,27.515,0.357,541.42,6
3,27.346,0.772,25.658,0.301,541.42,6
4,30.022,0.786,28.3,0.334,541.44,6
5,30.912,0.787,29.138,0.309,541.45,6
6,31.131,0.862,29.137,0.371,541.47,7
7,32.279,1.239,29.827,0.375,542.66,6
8,31.852,0.843,29.87,0.341,542.75,8
9,30.221,0.801,28.383,0.342,542.75,8
10,28.767,0.763,27.066,0.333,546.67,8
11,28.237,0.763,26.51,0.334,546.67,8
12,28.41,0.759,26.695,0.352,546.67,8
13,28.496,0.732,26.832,0.32,546.67,8
14,27.63,0.785,25.925,0.315,546.67,8
15,27.725,0.811,25.932,0.331,546.69,8
16,28.161,0.768,26.481,0.322,546.69,8
17,28.292,0.763,26.593,0.317,546.69,7
18,27.944,0.79,26.201,0.34,546.69,8
19,28.035,0.776,26.335,0.303,546.7,8
20,27.613,0.761,25.948,0.313,546.8,7
21,28.215,0.778,26.471,0.335,546.8,7
22,28.438,0.775,26.77,0.287,546.8,6
23,27.946,0.77,26.264,0.295,546.81,6
24,28.21,0.758,26.527,0.321,546.81,8
25,28.072,0.745,26.412,0.297,546.81,8
26,27.767,0.759,26.074,0.333,546.81,8
27,27.564,0.769,25.887,0.293,546.83,9
28,28.04,0.74,26.376,0.318,550.75,10
29,27.682,0.745,26.002,0.327,550.77,8
30,27.087,0.763,25.372,0.32,550.77,10
31,27.28,0.788,25.543,0.328,550.77,9
32,27.573,0.748,25.8,0.318,550.77,8
33,26.803,0.765,25.121,0.311,550.77,8
34,27.566,0.735,25.922,0.299,550.77,7
35,27.518,0.754,25.85,0.307,550.77,6
36,27.591,0.747,25.936,0.297,550.77,8
37,27.302,0.803,25.564,0.32,550.77,8
38,26.908,0.787,25.209,0.319,550.77,8
39,27.129,0.789,25.411,0.327,550.77,7
40,27.589,0.767,25.924,0.289,550.77,6
41,27.069,0.768,25.369,0.308,550.77,7
42,27.41,0.774,25.72,0.315,550.77,7
43,27.607,0.764,25.871,0.334,550.77,7
44,27.14,0.766,25.449,0.319,550.77,7
45,27.46,0.772,25.786,0.3,550.77,8
46,27.641,0.784,25.931,0.317,550.77,6
47,27.542,0.767,25.868,0.301,550.77,7
48,27.477,0.763,25.747,0.361,550.77,7
49,26.847,0.763,25.151,0.295,550.77,8
50,27.515,0.776,25.825,0.293,550.77,6
51,27.535,0.755,25.84,0.324,550.77,6
52,27.285,0.78,25.566,0.327,550.77,7
53,27.385,0.759,25.713,0.307,550.77,8
54,27.542,0.712,25.899,0.324,550.77,6
55,27.003,0.779,25.318,0.292,550.77,6
56,27.246,0.788,25.556,0.3,550.78,6
57,27.591,0.724,25.949,0.319,550.78,7
58,27.236,0.715,25.603,0.309,550.86,6
59,27.229,0.769,25.56,0.294,550.86,6
60,27.417,0.753,25.727,0.339,550.86,8
61,27.291,0.745,25.639,0.312,550.86,6
62,27.493,0.741,25.854,0.288,550.86,7
63,27.336,0.766,25.671,0.321,550.86,7
64,27.276,0.765,25.57,0.323,550.86,7
65,27.301,0.762,25.617,0.317,550.88,7
66,27.243,0.716,25.636,0.281,550.95,5
67,27.39,0.753,25.715,0.306,550.95,6
68,27.488,0.743,25.854,0.283,550.95,5
69,27.006,0.765,25.345,0.296,550.95,6
70,27.467,0.731,25.844,0.287,550.97,8
71,26.98,0.754,25.3,0.318,550.97,7
72,27.101,0.745,25.452,0.315,550.97,7
73,27.711,0.791,25.994,0.319,550.97,7
74,27.827,0.733,26.165,0.321,550.97,7
75,27.077,0.754,25.451,0.278,550.97,8
76,27.244,0.754,25.603,0.283,550.97,5
77,26.934,0.774,25.236,0.276,550.97,5
78,27.381,0.79,25.701,0.271,551.0,5
79,27.455,0.726,25.842,0.292,551.0,6
80,27.252,0.781,25.581,0.286,551.0,6
81,27.659,0.761,25.97,0.317,551.0,7
82,27.402,0.74,25.746,0.295,551.0,8
83,27.178,0.719,25.584,0.28,551.0,8
84,27.344,0.736,25.707,0.297,551.0,7
85,27.674,0.8,25.822,0.315,551.0,8
86,27.031,0.777,25.35,0.292,551.0,7
87,27.264,0.717,25.654,0.293,551.0,7
88,26.834,0.747,25.204,0.281,551.0,7
89,27.019,0.751,25.358,0.299,551.0,6
90,28.026,0.74,26.369,0.31,551.0,7
91,27.237,0.77,25.583,0.283,551.0,6
92,27.056,0.745,25.415,0.291,551.0,6
93,27.039,0.741,25.39,0.311,551.0,6
94,27.278,0.742,25.613,0.318,551.0,7
95,27.338,0.783,25.618,0.324,551.0,8
96,27.667,0.781,25.97,0.306,551.0,7
97,27.269,0.732,25.616,0.314,551.0,7
98,27.673,0.741,26.031,0.29,551.0,6
99,26.863,0.753,25.213,0.283,551.0,7
100,28.218,0.796,26.497,0.304,551.0,7
101,27.409,0.775,25.701,0.318,551.0,6
102,27.315,0.755,25.61,0.284,551.02,5
103,27.019,0.783,25.32,0.306,551.02,7
104,27.232,0.761,25.563,0.303,551.02,6
105,27.043,0.763,25.353,0.31,551.02,7
106,27.299,0.776,25.607,0.295,551.02,7
107,27.26,0.789,25.596,0.271,551.02,5
108,26.603,0.781,24.946,0.277,551.02,7
109,26.955,0.789,25.279,0.274,551.02,7
110,27.008,0.764,25.303,0.326,551.02,8
111,27.018,0.784,25.293,0.307,551.02,8
112,27.407,0.769,25.74,0.292,551.02,8
113,27.231,0.752,25.581,0.302,551.03,8
114,26.873,0.772,25.213,0.297,551.03,7
115,27.049,0.751,25.405,0.295,551.03,6
116,26.912,0.761,25.247,0.294,551.03,7
117,27.577,0.815,25.869,0.306,551.03,7
118,27.457,0.757,25.8,0.294,551.03,6
119,27.154,0.771,25.461,0.299,551.05,7
120,27.175,0.78,25.505,0.289,551.05,7
121,26.908,0.73,25.282,0.289,551.05,7
122,27.514,0.789,25.817,0.265,551.06,6
123,27.401,0.758,25.745,0.294,551.06,7
124,27.2,0.755,25.537,0.294,551.06,6
125,26.99,0.767,25.349,0.265,551.06,6
126,27.122,0.777,25.46,0.285,551.06,6
127,27.123,0.777,25.422,0.32,551.08,5
128,27.476,0.783,25.751,0.3,551.08,5
129,27.533,0.77,25.86,0.287,551.08,6
130,27.04,0.763,25.377,0.292,551.08,7
131,27.053,0.792,25.353,0.297,551.08,6
132,27.258,0.77,25.598,0.282,551.08,7
133,26.923,0.814,25.197,0.297,551.08,9
134,27.759,0.774,26.085,0.299,551.08,7
135,27.032,0.776,25.356,0.289,551.08,7
136,27.021,0.76,25.359,0.293,551.08,7
137,27.227,0.779,25.547,0.295,551.08,8
138,27.003,0.773,25.357,0.285,551.08,7
139,27.069,0.717,25.456,0.299,551.08,8
140,27.327,0.776,25.655,0.297,551.08,8
141,29.876,0.742,28.172,0.298,551.08,8
142,27.747,0.774,26.005,0.317,551.08,9
143,26.924,0.747,25.226,0.334,551.09,9
144,27.065,0.749,25.384,0.319,551.09,8
145,27.367,0.808,25.647,0.298,551.09,9
146,27.311,0.755,25.603,0.323,551.09,9
147,27.033,0.773,25.334,0.314,551.09,8
148,26.913,0.768,25.245,0.303,551.09,8
149,26.923,0.785,25.253,0.3,551.09,8
150,27.206,0.751,25.578,0.274,551.09,8
151,27.492,0.762,25.842,0.286,551.09,9
152,26.912,0.792,25.225,0.298,551.09,9
153,27.208,0.779,25.554,0.3,551.09,9
154,26.723,0.753,25.069,0.296,551.09,9
155,27.193,0.778,25.496,0.31,551.09,9
156,28.555,0.789,26.888,0.271,542.78,8
157,27.551,0.772,25.903,0.272,549.03,7
158,27.068,0.765,25.429,0.27,549.03,7
159,26.853,0.758,25.23,0.268,549.03,7
160,26.92,0.777,25.279,0.248,549.03,7
161,27.137,0.782,25.445,0.301,549.03,7
162,27.364,0.755,25.745,0.261,549.03,7
163,27.003,0.783,25.328,0.292,549.03,8
164,26.952,0.777,25.3,0.261,549.03,7
165,26.886,0.757,25.293,0.252,549.03,7
166,26.893,0.75,25.238,0.286,549.03,8
167,27.214,0.732,25.605,0.271,549.03,7
168,27.047,0.801,25.355,0.28,549.03,7
169,27.139,0.789,25.446,0.304,549.03,8
170,27.138,0.743,25.485,0.301,549.03,7
171,27.167,0.787,25.481,0.297,549.03,8
172,27.478,0.76,25.819,0.292,549.03,7
173,27.091,0.745,25.465,0.274,549.03,7
174,27.29,0.75,25.644,0.29,549.05,7
175,26.917,0.774,25.278,0.271,549.05,7
176,26.586,0.793,24.962,0.248,549.05,7
177,27.117,0.782,25.46,0.276,549.05,7
178,27.898,0.757,26.103,0.259,549.05,7
179,26.787,0.784,25.098,0.285,549.05,7
180,26.998,0.714,25.406,0.273,549.05,6
181,26.549,0.74,24.908,0.283,549.05,8
182,27.056,0.768,25.362,0.296,549.05,8
183,27.19,0.764,25.533,0.291,549.05,8
184,27.062,0.78,25.391,0.291,549.05,8
185,27.067,0.704,25.463,0.275,549.05,8
186,26.98,0.768,25.309,0.302,549.05,7
187,27.11,0.71,25.5,0.299,549.05,7
188,27.669,0.749,25.995,0.313,549.05,7
189,27.494,0.788,25.828,0.28,549.05,7
190,26.93,0.764,25.293,0.277,549.05,8
191,29.862,0.816,28.092,0.333,549.44,8
192,27.241,0.759,25.528,0.346,549.44,8
193,28.422,0.802,26.724,0.288,545.81,9
194,27.615,0.84,25.854,0.319,552.06,10
195,27.325,0.812,25.594,0.316,552.06,9
196,27.337,0.758,25.672,0.28,552.06,11
197,26.935,0.742,25.323,0.271,552.06,8
198,26.749,0.766,25.111,0.275,552.06,9
199,27.131,0.778,25.406,0.33,552.06,8
200,27.448,0.733,25.793,0.294,552.06,9
201,27.043,0.804,25.322,0.294,552.06,9
202,29.691,0.765,28.009,0.317,552.06,8
203,27.158,0.778,25.474,0.307,552.06,8
204,27.13,0.733,25.49,0.295,552.06,7
205,27.182,0.793,25.458,0.319,552.06,8
206,27.61,0.789,25.878,0.338,552.06,8
207,27.03,0.803,25.308,0.302,552.06,8
208,27.353,0.754,25.667,0.311,552.06,8
209,26.642,0.816,24.926,0.29,552.06,8
210,27.579,0.786,25.863,0.301,552.06,8
211,27.336,0.782,25.647,0.296,552.06,7
212,27.892,0.724,26.25,0.299,552.06,9
213,27.066,0.78,25.362,0.317,552.06,9
214,27.313,0.732,25.645,0.303,552.06,9
215,26.915,0.741,25.297,0.282,552.06,11
216,27.209,0.743,25.531,0.329,552.06,9
217,27.523,0.739,25.847,0.31,552.06,9
218,26.987,0.768,25.308,0.314,552.06,9
219,27.148,0.791,25.447,0.303,552.06,10
220,26.17,0.758,24.503,0.304,552.06,9
221,28.851,0.778,27.163,0.289,552.06,8
222,30.704,0.816,28.908,0.317,552.06,10
223,31.115,0.807,29.342,0.317,552.08,9
224,31.119,0.765,29.317,0.299,552.08,10
225,31.099,0.78,29.33,0.318,552.08,9
226,30.079,0.798,28.34,0.295,552.08,10
227,28.005,0.773,26.311,0.314,552.08,10
228,27.68,0.759,25.981,0.322,552.08,11
229,28.199,0.752,26.525,0.325,553.33,11
230,27.009,0.771,25.329,0.297,553.33,9
231,27.778,0.786,26.068,0.311,553.33,11
232,27.514,0.756,25.853,0.296,553.33,8
233,27.114,0.771,25.433,0.304,553.34,11
234,27.462,0.769,25.746,0.292,553.34,11
235,26.778,0.78,25.109,0.284,553.34,11
236,27.472,0.779,25.785,0.303,553.34,10
237,27.379,0.793,25.652,0.303,553.34,11
238,27.253,0.737,25.605,0.305,553.34,11
239,27.167,0.751,25.517,0.293,553.34,8
240,27.431,0.75,25.752,0.316,553.34,9
241,26.928,0.805,25.203,0.31,553.34,11
242,27.444,0.748,25.786,0.303,553.34,9
243,27.296,0.793,25.591,0.306,553.34,10
244,27.445,0.774,25.744,0.313,553.34,9
245,27.187,0.782,25.508,0.3,553.34,10
246,27.003,0.73,25.417,0.27,553.34,9
247,27.179,0.777,25.483,0.299,553.34,10
248,27.435,0.746,25.808,0.282,553.34,11
249,26.898,0.752,25.244,0.292,553.34,9
250,27.225,0.758,25.578,0.282,553.34,9
251,26.803,0.768,25.106,0.317,553.34,10
252,27.295,0.765,25.659,0.251,553.34,9
253,27.243,0.759,25.58,0.306,553.34,10
254,27.481,0.748,25.77,0.339,553.34,11
255,27.061,0.754,25.414,0.299,553.34,11
256,27.353,0.757,25.686,0.298,553.34,11
257,26.764,0.756,25.132,0.277,553.34,10
258,27.641,0.755,25.988,0.287,553.34,11
259,27.405,0.772,25.739,0.284,553.34,11
260,27.281,0.752,25.602,0.311,553.34,11
261,27.116,0.767,25.451,0.316,553.34,10
262,26.872,0.763,25.212,0.301,553.34,12
263,26.933,0.779,25.216,0.309,553.34,12
264,27.713,0.764,26.022,0.303,553.34,12
265,27.849,0.796,26.136,0.308,525.61,12
266,28.122,0.852,26.382,0.292,550.22,11
267,27.551,0.736,25.912,0.289,553.34,12
268,27.615,0.746,25.936,0.329,553.34,12
269,27.249,0.765,25.538,0.318,553.34,12
270,27.653,0.748,25.985,0.317,553.34,11
271,27.126,0.74,25.479,0.298,553.34,11
272,27.842,0.759,26.158,0.313,553.34,11
273,27.02,0.769,25.333,0.318,553.34,13
274,27.237,0.744,25.612,0.293,553.34,11
275,27.101,0.803,25.404,0.28,553.34,12
276,27.814,0.744,26.158,0.292,553.34,10
